,userID,itemID,rating
0,196,242,3.0
1,186,302,3.0
2,22,377,1.0
3,244,51,2.0
4,166,346,1.0
5,298,474,4.0
6,115,265,2.0
7,253,465,5.0
8,305,451,3.0
9,6,86,3.0
10,62,257,2.0
11,286,1014,5.0
12,200,222,5.0
13,210,40,3.0
14,224,29,3.0
15,303,785,3.0
16,122,387,5.0
17,194,274,2.0
18,291,1042,4.0
19,234,1184,2.0
20,119,392,4.0
21,167,486,4.0
22,299,144,4.0
23,291,118,2.0
24,308,1,4.0
25,95,546,2.0
26,38,95,5.0
27,102,768,2.0
28,63,277,4.0
29,160,234,5.0
30,50,246,3.0
31,301,98,4.0
32,225,193,4.0
33,290,88,4.0
34,97,194,3.0
35,157,274,4.0
36,181,1081,1.0
37,278,603,5.0
38,276,796,1.0
39,7,32,4.0
40,10,16,4.0
41,284,304,4.0
42,201,979,2.0
43,276,564,3.0
44,287,327,5.0
45,246,201,5.0
46,242,1137,5.0
47,249,241,5.0
48,99,4,5.0
49,178,332,3.0
50,251,100,4.0
51,81,432,2.0
52,260,322,4.0
53,25,181,5.0
54,59,196,5.0
55,72,679,2.0
56,87,384,4.0
57,290,143,5.0
58,42,423,5.0
59,292,515,4.0
60,115,20,3.0
61,20,288,1.0
62,201,219,4.0
63,13,526,3.0
64,246,919,4.0
65,138,26,5.0
66,167,232,1.0
67,60,427,5.0
68,57,304,5.0
69,223,274,4.0
70,189,512,4.0
71,243,15,3.0
72,92,1049,1.0
73,246,416,3.0
74,194,165,4.0
75,241,690,2.0
76,178,248,4.0
77,254,1444,3.0
78,293,5,3.0
79,127,229,5.0
80,225,237,5.0
81,299,229,3.0
82,225,480,5.0
83,276,54,3.0
84,291,144,5.0
85,222,366,4.0
86,267,518,5.0
87,42,403,3.0
88,11,111,4.0
89,95,625,4.0
90,8,338,4.0
91,162,25,4.0
92,87,1016,4.0
93,279,154,5.0
94,145,275,2.0
95,119,1153,5.0
96,62,498,4.0
97,62,382,3.0
98,28,209,4.0
99,135,23,4.0
100,32,294,3.0
101,90,382,5.0
102,286,208,4.0
103,293,685,3.0
104,216,144,4.0
105,166,328,5.0
106,250,496,4.0
107,271,132,5.0
108,160,174,5.0
109,265,118,4.0
110,198,498,3.0
111,42,96,5.0
112,168,151,5.0
113,110,307,4.0
114,58,144,4.0
115,90,648,4.0
116,271,346,4.0
117,62,21,3.0
118,279,832,3.0
119,237,514,4.0
120,94,789,4.0
121,128,485,3.0
122,298,317,4.0
123,44,195,5.0
124,264,200,5.0
125,194,385,2.0
126,72,195,5.0
127,222,750,5.0
128,250,264,3.0
129,41,265,3.0
130,224,245,3.0
131,82,135,3.0
132,262,1147,4.0
133,293,471,3.0
134,216,658,3.0
135,250,140,3.0
136,59,23,5.0
137,286,379,5.0
138,244,815,4.0
139,7,479,4.0
140,174,368,1.0
141,87,274,4.0
142,194,1211,2.0
143,82,1134,2.0
144,13,836,2.0
145,13,272,4.0
146,244,756,2.0
147,305,427,5.0
148,95,787,2.0
149,43,14,2.0
150,299,955,4.0
151,57,419,3.0
152,84,405,3.0
153,269,504,4.0
154,299,111,3.0
155,194,466,4.0
156,160,135,4.0
157,99,268,3.0
158,10,486,4.0
159,259,117,4.0
160,85,427,3.0
161,303,919,4.0
162,213,273,5.0
163,121,514,3.0
164,90,98,5.0
165,49,559,2.0
166,42,794,3.0
167,155,323,2.0
168,68,117,4.0
169,172,177,4.0
170,19,4,4.0
171,268,231,4.0
172,5,2,3.0
173,305,117,2.0
174,44,294,4.0
175,43,137,4.0
176,279,1336,1.0
177,80,466,5.0
178,254,164,4.0
179,298,281,3.0
180,279,1240,1.0
181,66,298,4.0
182,18,443,3.0
183,268,1035,2.0
184,99,79,4.0
185,13,98,4.0
186,26,258,3.0
187,7,455,4.0
188,222,755,4.0
189,200,673,5.0
190,119,328,4.0
191,213,172,5.0
192,276,322,3.0
193,94,1217,3.0
194,130,379,4.0
195,38,328,4.0
196,160,719,3.0
197,293,1267,3.0
198,26,930,2.0
199,130,216,4.0
200,92,1079,3.0
201,256,452,4.0
202,1,61,4.0
203,72,48,4.0
204,56,755,3.0
205,13,360,4.0
206,15,405,2.0
207,92,77,3.0
208,207,476,2.0
209,292,174,5.0
210,232,483,5.0
211,251,748,2.0
212,224,26,3.0
213,181,220,4.0
214,259,255,4.0
215,305,471,4.0
216,52,280,3.0
217,161,202,5.0
218,148,408,5.0
219,125,235,2.0
220,97,228,5.0
221,58,1098,4.0
222,83,234,4.0
223,90,347,4.0
224,272,178,5.0
225,194,181,3.0
226,125,478,4.0
227,110,688,1.0
228,299,14,4.0
229,151,10,5.0
230,269,127,4.0
231,6,14,5.0
232,54,106,3.0
233,303,69,5.0
234,16,944,1.0
235,301,790,4.0
236,276,1091,3.0
237,305,214,2.0
238,194,1028,2.0
239,91,323,2.0
240,87,554,4.0
241,294,109,4.0
242,286,171,4.0
243,200,318,5.0
244,229,328,1.0
245,178,568,4.0
246,303,842,2.0
247,62,65,4.0
248,207,591,3.0
249,92,172,4.0
250,301,401,4.0
251,36,339,5.0
252,70,746,3.0
253,63,242,3.0
254,28,201,3.0
255,279,68,4.0
256,250,7,4.0
257,14,98,3.0
258,299,1018,3.0
259,194,54,3.0
260,303,815,3.0
261,119,237,5.0
262,295,218,5.0
263,268,930,2.0
264,268,2,2.0
265,66,258,4.0
266,233,202,5.0
267,83,623,4.0
268,214,334,3.0
269,192,476,2.0
270,100,344,4.0
271,268,145,1.0
272,301,56,4.0
273,307,89,5.0
274,234,141,3.0
275,83,576,4.0
276,181,264,2.0
277,297,133,4.0
278,38,153,5.0
279,7,382,4.0
280,264,813,4.0
281,181,872,1.0
282,201,146,1.0
283,85,507,4.0
284,269,367,3.0
285,59,468,3.0
286,286,143,4.0
287,193,96,1.0
288,113,595,5.0
289,292,11,5.0
290,130,1014,3.0
291,275,98,4.0
292,189,520,5.0
293,219,82,1.0
294,218,209,5.0
295,123,427,3.0
296,119,222,5.0
297,158,177,4.0
298,222,118,4.0
299,302,322,2.0
300,279,501,3.0
301,301,79,5.0
302,181,3,2.0
303,201,695,1.0
304,13,198,3.0
305,1,189,3.0
306,145,237,5.0
307,23,385,4.0
308,201,767,4.0
309,296,705,5.0
310,42,546,3.0
311,33,872,3.0
312,301,554,3.0
313,16,64,5.0
314,95,135,3.0
315,154,357,4.0
316,77,484,5.0
317,296,508,5.0
318,302,303,2.0
319,244,673,3.0
320,222,77,4.0
321,13,215,5.0
322,16,705,5.0
323,270,452,4.0
324,145,15,2.0
325,187,64,5.0
326,200,304,5.0
327,170,749,5.0
328,101,829,3.0
329,184,218,3.0
330,128,204,4.0
331,181,1295,1.0
332,184,153,3.0
333,1,33,4.0
334,1,160,4.0
335,184,321,5.0
336,54,595,3.0
337,94,343,4.0
338,128,508,4.0
339,23,323,2.0
340,301,227,3.0
341,301,191,3.0
342,112,903,1.0
343,82,183,3.0
344,222,724,3.0
345,218,430,3.0
346,308,1197,4.0
347,303,134,5.0
348,133,751,3.0
349,215,212,2.0
350,69,256,5.0
351,254,662,4.0
352,276,2,4.0
353,104,984,1.0
354,63,1067,3.0
355,267,410,4.0
356,13,56,5.0
357,240,879,3.0
358,286,237,2.0
359,294,271,5.0
360,90,1086,4.0
361,18,26,4.0
362,92,229,3.0
363,308,649,4.0
364,144,89,3.0
365,191,302,4.0
366,59,951,3.0
367,200,96,5.0
368,16,197,5.0
369,61,678,3.0
370,271,199,4.0
371,271,709,3.0
372,142,169,5.0
373,275,597,3.0
374,222,151,3.0
375,87,40,3.0
376,207,258,4.0
377,272,1393,2.0
378,177,333,4.0
379,207,1115,2.0
380,299,577,3.0
381,271,378,4.0
382,305,425,4.0
383,49,959,2.0
384,94,1224,3.0
385,130,1017,3.0
386,10,175,3.0
387,203,321,3.0
388,191,286,4.0
389,43,323,3.0
390,21,558,5.0
391,197,96,5.0
392,13,344,2.0
393,194,66,3.0
394,234,206,4.0
395,308,402,4.0
396,308,640,4.0
397,269,522,5.0
398,94,265,4.0
399,268,62,3.0
400,272,12,5.0
401,121,291,3.0
402,296,20,5.0
403,134,286,3.0
404,180,462,5.0
405,234,612,3.0
406,104,117,2.0
407,38,758,1.0
408,269,845,1.0
409,7,163,4.0
410,234,1451,3.0
411,275,405,2.0
412,52,250,3.0
413,102,823,3.0
414,13,186,4.0
415,178,731,4.0
416,236,71,3.0
417,256,781,5.0
418,263,176,5.0
419,244,186,3.0
420,279,1181,4.0
421,43,815,4.0
422,83,78,2.0
423,151,197,5.0
424,254,436,2.0
425,109,631,3.0
426,297,716,3.0
427,249,188,4.0
428,144,699,4.0
429,301,604,4.0
430,64,392,3.0
431,92,501,2.0
432,222,97,4.0
433,268,436,3.0
434,293,135,5.0
435,213,173,5.0
436,160,460,2.0
437,13,498,4.0
438,59,715,5.0
439,5,17,4.0
440,125,163,5.0
441,174,315,5.0
442,114,505,3.0
443,213,515,4.0
444,23,196,2.0
445,128,15,4.0
446,239,56,4.0
447,181,279,1.0
448,291,80,4.0
449,250,238,4.0
450,201,649,3.0
451,60,60,5.0
452,181,325,2.0
453,119,407,3.0
454,287,1,5.0
455,216,228,3.0
456,216,531,4.0
457,203,471,4.0
458,92,587,3.0
459,13,892,3.0
460,213,176,4.0
461,286,288,5.0
462,117,1047,2.0
463,99,111,1.0
464,11,558,3.0
465,65,47,2.0
466,295,194,4.0
467,269,217,2.0
468,85,259,2.0
469,250,596,5.0
470,137,144,5.0
471,201,960,2.0
472,257,137,4.0
473,111,328,4.0
474,91,480,4.0
475,215,211,4.0
476,181,938,1.0
477,189,1060,5.0
478,1,20,4.0
479,303,404,4.0
480,299,305,3.0
481,187,210,4.0
482,222,278,2.0
483,214,568,4.0
484,293,770,3.0
485,285,191,4.0
486,303,252,3.0
487,96,156,4.0
488,72,1110,3.0
489,115,1067,4.0
490,7,430,3.0
491,116,350,3.0
492,73,480,4.0
493,269,246,5.0
494,263,419,5.0
495,70,431,3.0
496,221,475,4.0
497,72,182,5.0
498,25,357,4.0
499,290,50,5.0
500,189,526,4.0
501,299,303,3.0
502,264,294,3.0
503,200,365,5.0
504,187,135,4.0
505,184,187,4.0
506,63,289,2.0
507,13,229,4.0
508,298,486,3.0
509,235,185,4.0
510,62,712,4.0
511,246,94,2.0
512,54,742,5.0
513,63,762,3.0
514,11,732,3.0
515,92,168,4.0
516,8,550,3.0
517,307,174,4.0
518,303,200,4.0
519,256,849,2.0
520,72,54,3.0
521,164,406,2.0
522,117,150,4.0
523,224,77,4.0
524,193,869,3.0
525,94,184,2.0
526,281,338,2.0
527,130,109,3.0
528,128,371,1.0
529,94,720,1.0
530,182,845,3.0
531,129,873,1.0
532,254,229,4.0
533,64,381,4.0
534,151,176,2.0
535,45,25,4.0
536,193,879,3.0
537,276,922,4.0
538,276,57,3.0
539,234,187,4.0
540,181,306,1.0
541,21,370,1.0
542,293,249,3.0
543,264,721,5.0
544,10,611,5.0
545,197,346,3.0
546,276,142,3.0
547,308,427,4.0
548,221,943,4.0
549,131,126,4.0
550,268,824,2.0
551,109,8,3.0
552,198,58,3.0
553,230,680,4.0
554,181,741,1.0
555,192,1061,4.0
556,234,448,3.0
557,90,900,4.0
558,193,941,4.0
559,128,603,5.0
560,126,905,2.0
561,244,265,4.0
562,90,289,3.0
563,157,25,3.0
564,305,71,3.0
565,119,382,5.0
566,21,222,2.0
567,231,181,4.0
568,280,508,3.0
569,288,132,3.0
570,279,1497,2.0
571,301,33,4.0
572,72,699,3.0
573,90,259,2.0
574,308,55,3.0
575,59,742,3.0
576,94,744,4.0
577,130,642,4.0
578,26,1015,3.0
579,56,121,5.0
580,82,508,2.0
581,62,12,4.0
582,276,40,3.0
583,181,1015,1.0
584,152,301,3.0
585,178,845,4.0
586,217,597,4.0
587,79,303,4.0
588,138,484,4.0
589,308,81,5.0
590,75,284,2.0
591,269,198,4.0
592,307,94,3.0
593,222,781,3.0
594,121,740,3.0
595,269,22,1.0
596,13,864,4.0
597,230,742,5.0
598,269,507,4.0
599,239,1099,5.0
600,245,1028,5.0
601,56,546,3.0
602,295,961,5.0
603,271,1028,2.0
604,222,812,2.0
605,69,240,3.0
606,10,7,4.0
607,22,376,3.0
608,294,931,3.0
609,82,717,1.0
610,279,399,4.0
611,269,234,1.0
612,6,98,5.0
613,243,1039,4.0
614,298,181,4.0
615,282,325,1.0
616,78,323,1.0
617,118,200,5.0
618,283,1114,5.0
619,171,292,4.0
620,70,217,4.0
621,10,100,5.0
622,245,181,4.0
623,107,333,3.0
624,246,561,1.0
625,13,901,1.0
626,276,70,4.0
627,244,17,2.0
628,189,56,5.0
629,226,242,5.0
630,62,1016,4.0
631,276,417,4.0
632,214,478,4.0
633,306,235,4.0
634,222,26,3.0
635,280,631,5.0
636,60,430,5.0
637,56,71,4.0
638,42,274,5.0
639,1,202,5.0
640,13,809,4.0
641,173,289,4.0
642,15,749,1.0
643,185,23,4.0
644,280,540,3.0
645,244,381,4.0
646,150,293,4.0
647,7,497,4.0
648,178,317,4.0
649,178,742,3.0
650,95,1217,3.0
651,234,1462,3.0
652,97,222,5.0
653,109,127,2.0
654,117,268,5.0
655,269,705,2.0
656,130,1246,3.0
657,264,655,4.0
658,207,13,3.0
659,42,588,5.0
660,246,409,2.0
661,87,367,4.0
662,101,304,3.0
663,256,127,4.0
664,92,794,3.0
665,181,762,2.0
666,213,235,1.0
667,92,739,2.0
668,292,661,5.0
669,246,665,4.0
670,274,845,5.0
671,188,692,5.0
672,18,86,4.0
673,5,439,1.0
674,236,632,3.0
675,193,407,4.0
676,144,709,4.0
677,90,1198,5.0
678,48,609,4.0
679,5,225,2.0
680,22,128,5.0
681,311,432,4.0
682,8,22,5.0
683,276,188,4.0
684,222,173,5.0
685,72,866,4.0
686,299,134,4.0
687,1,171,5.0
688,308,295,3.0
689,165,216,4.0
690,222,49,3.0
691,181,121,4.0
692,200,11,5.0
693,234,626,4.0
694,244,707,4.0
695,90,25,5.0
696,208,216,5.0
697,263,96,4.0
698,134,323,4.0
699,279,586,4.0
700,2,292,4.0
701,288,593,2.0
702,49,302,4.0
703,286,153,5.0
704,205,304,3.0
705,22,80,4.0
706,234,318,4.0
707,223,328,3.0
708,15,25,3.0
709,268,147,4.0
710,94,1220,3.0
711,274,405,4.0
712,7,492,5.0
713,268,217,2.0
714,16,55,5.0
715,164,620,3.0
716,290,161,4.0
717,92,515,4.0
718,239,1070,5.0
719,56,449,5.0
720,248,234,4.0
721,234,10,3.0
722,280,1049,2.0
723,308,187,5.0
724,276,64,5.0
725,192,948,3.0
726,122,509,4.0
727,85,588,3.0
728,262,931,2.0
729,201,272,3.0
730,181,870,2.0
731,295,739,4.0
732,263,568,4.0
733,295,39,4.0
734,201,1100,4.0
735,93,820,3.0
736,159,1028,5.0
737,158,665,2.0
738,293,423,3.0
739,82,597,3.0
740,276,181,5.0
741,13,823,5.0
742,217,2,3.0
743,83,660,4.0
744,189,20,5.0
745,222,796,4.0
746,146,1022,5.0
747,267,121,3.0
748,126,294,3.0
749,181,1060,1.0
750,125,80,4.0
751,43,120,4.0
752,13,780,1.0
753,253,259,2.0
754,42,44,3.0
755,77,518,4.0
756,291,686,5.0
757,268,21,3.0
758,262,28,3.0
759,234,81,3.0
760,29,245,3.0
761,236,57,5.0
762,158,729,3.0
763,156,661,4.0
764,232,52,5.0
765,168,866,5.0
766,37,288,4.0
767,141,245,3.0
768,235,230,4.0
769,102,70,3.0
770,77,172,3.0
771,90,506,5.0
772,186,566,5.0
773,44,660,5.0
774,118,774,5.0
775,7,661,5.0
776,49,1003,2.0
777,62,68,1.0
778,42,1028,4.0
779,178,433,4.0
780,85,51,2.0
781,77,474,5.0
782,58,1099,2.0
783,56,1047,4.0
784,197,688,1.0
785,286,99,4.0
786,90,258,3.0
787,181,1288,1.0
788,295,190,4.0
789,224,69,4.0
790,272,317,4.0
791,221,1010,3.0
792,66,877,1.0
793,207,318,5.0
794,234,487,3.0
795,7,648,5.0
796,87,82,5.0
797,195,1052,1.0
798,44,449,5.0
799,306,287,4.0
800,194,172,3.0
801,94,62,3.0
802,167,659,4.0
803,108,100,4.0
804,230,304,5.0
805,181,927,1.0
806,54,302,4.0
807,90,22,4.0
808,181,696,2.0
809,286,357,4.0
810,14,269,4.0
811,311,179,2.0
812,92,121,5.0
813,21,440,1.0
814,244,550,1.0
815,181,405,4.0
816,65,806,4.0
817,37,540,2.0
818,44,443,5.0
819,244,183,4.0
820,1,265,4.0
821,270,25,5.0
822,299,387,2.0
823,94,572,3.0
824,286,746,4.0
825,239,272,5.0
826,216,55,5.0
827,254,121,3.0
828,62,665,2.0
829,178,385,4.0
830,194,23,4.0
831,268,955,3.0
832,188,143,5.0
833,276,294,4.0
834,158,1098,4.0
835,207,845,3.0
836,161,48,1.0
837,305,654,4.0
838,47,324,3.0
839,64,736,4.0
840,191,751,3.0
841,7,378,5.0
842,59,92,5.0
843,69,268,5.0
844,10,461,3.0
845,21,129,4.0
846,58,9,4.0
847,194,152,3.0
848,7,200,5.0
849,113,126,5.0
850,173,328,5.0
851,95,233,4.0
852,16,194,5.0
853,59,323,4.0
854,311,654,3.0
855,292,589,4.0
856,43,203,4.0
857,79,50,4.0
858,235,70,5.0
859,125,190,5.0
860,284,322,3.0
861,303,161,5.0
862,254,378,3.0
863,255,1034,1.0
864,104,301,2.0
865,90,923,5.0
866,6,463,4.0
867,279,122,1.0
868,286,298,4.0
869,222,448,3.0
870,297,57,5.0
871,42,625,3.0
872,130,1217,4.0
873,254,357,3.0
874,109,475,1.0
875,230,1444,2.0
876,244,310,3.0
877,6,301,2.0
878,36,748,4.0
879,256,443,3.0
880,102,515,1.0
881,104,285,4.0
882,21,447,5.0
883,111,301,4.0
884,18,408,5.0
885,25,222,4.0
886,110,944,3.0
887,270,98,5.0
888,68,237,5.0
889,83,215,4.0
890,6,258,2.0
891,89,216,5.0
892,128,317,4.0
893,305,512,4.0
894,184,412,2.0
895,286,175,5.0
896,279,1428,3.0
897,256,86,5.0
898,221,48,5.0
899,140,332,3.0
900,190,977,2.0
901,11,227,3.0
902,201,203,5.0
903,150,181,5.0
904,126,245,3.0
905,20,208,2.0
906,144,742,4.0
907,181,930,1.0
908,109,566,4.0
909,85,1065,3.0
910,213,133,3.0
911,222,379,1.0
912,223,11,3.0
913,215,421,4.0
914,218,208,3.0
915,174,937,5.0
916,275,186,3.0
917,68,742,1.0
